"","species","total_length","OOL","head_height","HC_fin","higher_group","swimbladder"
"256","Trachinotus mookalee",71.5,9.63,14.88,FALSE,"Acanthopterygii","True"
"257","Trachurus japonicus",28.404,4.13,4.858,FALSE,"Acanthopterygii","True"
"258","Ulua mentalis",17.257,2.994,4.977,FALSE,"Acanthopterygii","True"
"259","Uraspis helvola",32.298,5.224,8.641,FALSE,"Acanthopterygii","True"
"260","Amblopites rupestris",6.202,1.421,1.509,FALSE,"Acanthopterygii","True"
"261","Amblopites rupestris",20.2,4.159,5.235,FALSE,"Acanthopterygii","True"
"262","Amblopites rupestris",7.346,1.664,1.791,FALSE,"Acanthopterygii","True"
"263","Amblopites rupestris",18.9,3.864,4.36,FALSE,"Acanthopterygii","True"
"264","Amblopites rupestris",14.8,3.277,4.141,FALSE,"Acanthopterygii","True"
"265","Amblopites rupestris",19.1,3.882,4.888,FALSE,"Acanthopterygii","True"
"266","Amblopites rupestris",5.173,1.177,1.134,FALSE,"Acanthopterygii","True"
"267","Amblopites rupestris",10.534,2.235,2.458,FALSE,"Acanthopterygii","True"
"268","Amblopites rupestris",4.29,0.979,1.032,FALSE,"Acanthopterygii","True"
"269","Amblopites rupestris",18.4,3.934,4.835,FALSE,"Acanthopterygii","True"
"270","Amblopites rupestris",10.861,2.47,2.851,FALSE,"Acanthopterygii","True"
"271","Amblopites rupestris",18.5,3.999,4.554,FALSE,"Acanthopterygii","True"
"272","Amblopites rupestris",18,3.963,4.598,FALSE,"Acanthopterygii","True"
"273","Kyphosus incisor",31,4.415,6.397,FALSE,"Acanthopterygii","True"
"274","Kyphosus sectatrix",49.5,6.59,9.283,FALSE,"Acanthopterygii","True"
"275","Kyphosus sectatrix",26.5,4.32,8.11,FALSE,"Acanthopterygii","True"
"276","Kyphosus sectatrix",47.5,6.9,9.34,FALSE,"Acanthopterygii","True"
"277","Kyphosus sectatrix",52.3,7,11.5,FALSE,"Acanthopterygii","True"
"278","Kyphosus vaigensis",41.5,6.2,13,FALSE,"Acanthopterygii","True"
"279","Kyphosus vaigensis",53.11,7.99,11.16,FALSE,"Acanthopterygii","True"
"280","Latris lineata",99.67,16.24,20.2,FALSE,"Acanthopterygii","True"
"281","Lepomis cyanellus",7.139,1.545,1.713,FALSE,"Acanthopterygii","True"
"282","Lepomis cyanellus",16.9,3.401,4.412,FALSE,"Acanthopterygii","True"
"283","Lepomis cyanellus",6.555,1.342,1.441,FALSE,"Acanthopterygii","True"
"284","Lepomis cyanellus",12.4,2.88,4.107,FALSE,"Acanthopterygii","True"
"285","Lepomis cyanellus",14.3,2.932,4.151,FALSE,"Acanthopterygii","True"
"286","Lepomis gibbosus",14.5,2.97,3.878,FALSE,"Acanthopterygii","True"
"287","Lepomis gibbosus",14.6,2.785,3.611,FALSE,"Acanthopterygii","True"
"288","Lepomis gibbosus",15.2,3.014,4.259,FALSE,"Acanthopterygii","True"
"289","Lepomis gibbosus",14.2,2.716,4.06,FALSE,"Acanthopterygii","True"
"290","Lepomis gibbosus",15.9,2.984,4.116,FALSE,"Acanthopterygii","True"
"291","Micropterus dolomieu",7.789,1.617,1.475,FALSE,"Acanthopterygii","True"
"292","Micropterus dolomieu",11.554,2.382,2.319,FALSE,"Acanthopterygii","True"
"293","Micropterus dolomieu",23.3,4.397,4.37,FALSE,"Acanthopterygii","True"
"294","Micropterus dolomieu",25.4,4.661,4.814,FALSE,"Acanthopterygii","True"
"295","Micropterus dolomieu",25,4.49,4.666,FALSE,"Acanthopterygii","True"
"296","Micropterus dolomieu",28.7,5.131,6.041,FALSE,"Acanthopterygii","True"
"297","Micropterus dolomieu",17.22,3.249,3.474,FALSE,"Acanthopterygii","True"
"298","Micropterus dolomieu",29.5,4.59,4.84,FALSE,"Acanthopterygii","True"
"299","Micropterus dolomieu",35.5,5.448,5.837,FALSE,"Acanthopterygii","True"
"300","Micropterus dolomieu",39.5,6.934,6.793,FALSE,"Acanthopterygii","True"
"301","Micropterus dolomieu",4.778,0.971,0.811,FALSE,"Acanthopterygii","True"
"302","Micropterus dolomieu",22.3,4.498,4.065,FALSE,"Acanthopterygii","True"
"303","Micropterus dolomieu",19.4,4.2,3.86,FALSE,"Acanthopterygii","True"
"304","Micropterus dolomieu",65.67,12.45,17.23,FALSE,"Acanthopterygii","True"
"305","Micropterus salmoides",28.1,5.299,5.176,FALSE,"Acanthopterygii","True"
"306","Micropterus salmoides",21.2,3.882,4.079,FALSE,"Acanthopterygii","True"
"307","Nemadactylus macropterus",31.67,4.54,6.51,FALSE,"Acanthopterygii","True"
"308","Pomoxis annularis",24.4,4.451,6.595,FALSE,"Acanthopterygii","True"
"309","Pomoxis annularis",17,3.441,4.162,FALSE,"Acanthopterygii","True"
"310","Pomoxis annularis",25.5,5.316,6.016,FALSE,"Acanthopterygii","True"
"311","Pomoxis annularis",25.5,5.049,6.973,FALSE,"Acanthopterygii","True"
"312","Pomoxis annularis",17.8,3.505,4.184,FALSE,"Acanthopterygii","True"
"313","Pomoxis annularis",18.8,3.5,4.186,FALSE,"Acanthopterygii","True"
"314","Scorpis lineolata",28.384,3.569,6.075,FALSE,"Acanthopterygii","True"
"315","Terapon jarbua",19.306,3.676,3.835,FALSE,"Acanthopterygii","True"
"316","Terapon jarbua",20.151,3.39,3.544,FALSE,"Acanthopterygii","True"
"317","Diplotaxodon aenus",14.45,3.33,3.74,FALSE,"Acanthopterygii","True"
"318","Diplotaxodon apogon",10.306,2.378,2.522,FALSE,"Acanthopterygii","True"
"319","Diplotaxodon macrops",14.13,2.97,3.08,FALSE,"Acanthopterygii","True"
